tag,tag_name,tag_group,num_coins,sample_coins
binance-listing,Binance Listing,CATEGORY,90,"1INCH,AAVE,ADA,AERO,AKT,ALGO,ALICE,AMP,ANKR,APE"
binance-ecosystem,Binance Ecosystem,CATEGORY,90,"1INCH,AAVE,ADA,AERO,AKT,ALGO,ALICE,AMP,ANKR,APE"
ethereum-ecosystem,Ethereum Ecosystem,PLATFORM,63,"1INCH,AAVE,ALICE,AMP,ANKR,APE,API3,ARB,ARKM,ATH"
defi,DeFi,CATEGORY,39,"1INCH,AAVE,AERO,ALICE,ANKR,API3,ARKM,ATOM,AXL,BAL"
made-in-america,Made in America,CATEGORY,34,"AAVE,ADA,AERO,AKT,ALGO,AMP,ANKR,APT,ARKM,AUDIO"
solana-ecosystem,Solana Ecosystem,PLATFORM,32,"1INCH,AAVE,ALICE,ANKR,ATH,AUDIO,AXS,BAND,BAT,BIO"
arbitrum-ecosystem,Arbitrum Ecosystem,PLATFORM,25,"AAVE,ANKR,ARB,ATH,AXL,BAL,BICO,BNT,BONK,CAKE"
web3,Web3,INDUSTRY,24,"AIOZ,AKT,API3,AUDIO,BAND,BAT,BTRST,CVC,DIA,DOT"
layer-1,Layer 1,CATEGORY,22,"ADA,AIOZ,ALGO,APT,AVAX,BCH,BNB,BTC,CHZ,CRO"
polygon-ecosystem,Polygon Ecosystem,PLATFORM,21,"AAVE,ANKR,API3,ATOM,AXL,BAL,BAND,BICO,BONK,CRV"
pantera-capital-portfolio,Pantera Capital Portfolio,CATEGORY,19,"AAVE,ANKR,API3,ARB,AUDIO,BAL,BAT,BTC,CELR,COMP"
platform,Platform,CATEGORY,19,"ADA,AIOZ,ALGO,ANKR,ATOM,BICO,CELR,CTSI,DIA,ELA"
smart-contracts,Smart Contracts,CATEGORY,18,"ADA,AIOZ,ALGO,AVAX,BAT,BNB,CAKE,CELO,CTSI,DIA"
dwf-labs-portfolio,DWF Labs Portfolio,CATEGORY,16,"AIOZ,ALGO,BICO,BONK,CELO,COTI,CRV,EGLD,EOS,FET"
ai-big-data,AI & Big Data,INDUSTRY,16,"AIOZ,AKT,ARKM,ATH,BAT,DIA,FET,FIL,GLM,GRT"
binance-labs-portfolio,YZi Labs Portfolio,CATEGORY,15,"1INCH,APT,ARKM,AUDIO,AXL,BAND,BICO,BIO,BTC,CTSI"
collectibles-nfts,Collectibles & NFTs,CATEGORY,15,"ALICE,APE,AXS,BLUR,CAKE,CHZ,FET,FLOW,GMT,ILV"
dao,DAO,CATEGORY,15,"AAVE,APE,ARB,AUDIO,BAL,BIO,COMP,CRV,DASH,ENS"
bnb-chain-ecosystem,BNB Chain Ecosystem,PLATFORM,14,"1INCH,ALICE,AUDIO,AXL,BICO,BIO,BNB,CAKE,FLOKI,KNC"
base-ecosystem,Base Ecosystem,PLATFORM,14,"AERO,AXL,BAL,BICO,BONK,BTRST,CAKE,CRV,CTSI,DOT"
depin,DePIN,INDUSTRY,14,"AIOZ,AKT,ANKR,ATH,CELR,EGLD,ELA,FIL,GLM,HNT"
polychain-capital-portfolio,Polychain Capital Portfolio,CATEGORY,14,"ARB,ATOM,AVAX,AXL,BTC,CELO,COMP,DOT,DRIFT,ETH"
avalanche-ecosystem,Avalanche Ecosystem,PLATFORM,13,"1INCH,AAVE,ANKR,AVAX,AXL,BAT,BICO,COMP,CTSI,DIA"
distributed-computing,Distributed Computing,INDUSTRY,12,"AIOZ,AKT,ANKR,ATH,EGLD,ELA,FIL,GLM,HNT,IO"
alleged-sec-securities,Alleged SEC Securities,CATEGORY,12,"ADA,ALGO,AMP,ATOM,AXS,BNB,CHZ,DASH,FIL,FLOW"
