symbol,category,priority,notes
BTC,BTC Ecosystem,primary,Bitcoin
STX,BTC Ecosystem,primary,Bitcoin Layer 2
ETH,ETH Ecosystem,primary,Ethereum
AAVE,ETH Ecosystem,secondary,ETH DeFi protocol
BAL,ETH Ecosystem,secondary,ETH DeFi protocol
COMP,ETH Ecosystem,secondary,ETH DeFi protocol
CRV,ETH Ecosystem,secondary,ETH DeFi protocol
CVX,ETH Ecosystem,secondary,ETH DeFi protocol
ENS,ETH Ecosystem,secondary,ETH namespace service
GNO,ETH Ecosystem,secondary,Gnosis Chain
LDO,ETH Ecosystem,secondary,Liquid staking on ETH
LINK,ETH Ecosystem,secondary,Oracle network
MKR,ETH Ecosystem,secondary,ETH DeFi protocol
RPL,ETH Ecosystem,secondary,Rocket Pool staking
SNX,ETH Ecosystem,secondary,Synthetix on ETH
SUSHI,ETH Ecosystem,secondary,ETH DEX
UNI,ETH Ecosystem,secondary,ETH DEX
PENDLE,ETH Ecosystem,secondary,Yield trading on ETH
ETHFI,ETH Ecosystem,secondary,ETH liquid staking
MORPHO,ETH Ecosystem,secondary,ETH lending optimizer
EIGEN,ETH Ecosystem,secondary,EigenLayer restaking
SOL,SOL Ecosystem,primary,Solana
BONK,SOL Ecosystem,secondary,Solana meme
JTO,SOL Ecosystem,secondary,Jito MEV on Solana
PYTH,SOL Ecosystem,secondary,Oracle on Solana
WIF,SOL Ecosystem,secondary,Solana meme
DRIFT,SOL Ecosystem,secondary,Solana DEX
BNB,BNB Ecosystem,primary,Binance Smart Chain
CAKE,BNB Ecosystem,secondary,PancakeSwap on BSC
ADA,L1 Smart Contract,primary,Cardano
ALGO,L1 Smart Contract,primary,Algorand
ATOM,L1 Smart Contract,primary,Cosmos Hub
AVAX,L1 Smart Contract,primary,Avalanche
DOT,L1 Smart Contract,primary,Polkadot
EOS,L1 Smart Contract,primary,EOSIO
ICP,L1 Smart Contract,primary,Internet Computer
NEAR,L1 Smart Contract,primary,NEAR Protocol
SOL,L1 Smart Contract,primary,Solana
EGLD,L1 Smart Contract,primary,MultiversX (Elrond)
FLOW,L1 Smart Contract,primary,Flow
HBAR,L1 Smart Contract,primary,Hedera
KSM,L1 Smart Contract,primary,Kusama
OSMO,L1 Smart Contract,primary,Osmosis
ROSE,L1 Smart Contract,primary,Oasis Network
SEI,L1 Smart Contract,primary,Sei Network
SUI,L1 Smart Contract,primary,Sui
TIA,L1 Smart Contract,primary,Celestia
CELO,L1 Smart Contract,secondary,Celo
KAVA,L1 Smart Contract,secondary,Kava
MINA,L1 Smart Contract,secondary,Mina Protocol
AXL,L1 Smart Contract,secondary,Axelar
FLR,L1 Smart Contract,secondary,Flare Network
ZETA,L1 Smart Contract,secondary,ZetaChain
ARB,L2 Scaling,primary,Arbitrum
OP,L2 Scaling,primary,Optimism
POL,L2 Scaling,primary,Polygon (MATIC)
IMX,L2 Scaling,primary,Immutable X
METIS,L2 Scaling,secondary,Metis
STRK,L2 Scaling,secondary,Starknet
